,malfunction_id,camera_name,date,hours
0,0,65_81st_Vision_Stream1,2022-6-30,[0.0]
1,1,65_81st_Vision_Stream1,2022-6-30,[1.0]
2,2,65_81st_Vision_Stream1,2022-6-30,[2.0]
3,3,65_81st_Vision_Stream1,2022-6-30,[3.0]
4,4,65_81st_Vision_Stream1,2022-6-30,[4.0]
5,5,65_81st_Vision_Stream1,2022-6-30,[5.0]
6,6,65_81st_Vision_Stream1,2022-6-30,[6.0]
7,7,65_81st_Vision_Stream1,2022-6-30,[7.0]
8,8,65_81st_Vision_Stream1,2022-6-30,[8.0]
9,9,65_81st_Vision_Stream1,2022-6-30,[9.0]
10,10,65_81st_Vision_Stream1,2022-6-30,[10.0]
11,11,65_81st_Vision_Stream1,2022-6-30,[12.0]
12,12,65_81st_Vision_Stream1,2022-6-30,[13.0]
13,13,65_81st_Vision_Stream1,2022-6-30,[14.0]
14,14,65_81st_Vision_Stream1,2022-6-30,[15.0]
15,15,65_81st_Vision_Stream1,2022-6-30,[16.0]
16,16,65_81st_Vision_Stream1,2022-6-30,[17.0]
17,17,65_81st_Vision_Stream1,2022-6-30,[18.0]
18,18,65_81st_Vision_Stream1,2022-6-30,[19.0]
19,19,65_81st_Vision_Stream1,2022-7-1,[4.0]
20,20,65_81st_Vision_Stream1,2022-7-1,[5.0]
21,21,65_81st_Vision_Stream1,2022-7-1,[6.0]
22,22,65_81st_Vision_Stream1,2022-7-1,[7.0]
23,23,65_81st_Vision_Stream1,2022-7-1,[8.0]
24,24,65_81st_Vision_Stream1,2022-7-1,[9.0]
25,25,65_81st_Vision_Stream1,2022-7-1,[14.0]
26,26,65_81st_Vision_Stream1,2022-7-1,[16.0]
27,27,65_81st_Vision_Stream1,2022-7-1,[19.0]
28,28,65_81st_Vision_Stream1,2022-7-1,[21.0]
29,29,65_81st_Vision_Stream1,2022-7-1,[23.0]
30,30,65_81st_Vision_Stream1,2022-7-2,[0.0]
31,31,65_81st_Vision_Stream1,2022-7-2,[1.0]
32,32,65_81st_Vision_Stream1,2022-7-2,[2.0]
33,33,65_81st_Vision_Stream1,2022-7-2,[3.0]
34,34,65_81st_Vision_Stream1,2022-7-2,[4.0]
35,35,65_81st_Vision_Stream1,2022-7-2,[5.0]
36,36,65_81st_Vision_Stream1,2022-7-2,[6.0]
37,37,65_81st_Vision_Stream1,2022-7-2,[7.0]
38,38,65_81st_Vision_Stream1,2022-7-2,[8.0]
39,39,65_81st_Vision_Stream1,2022-7-2,[9.0]
40,40,65_81st_Vision_Stream1,2022-7-2,[10.0]
41,41,65_81st_Vision_Stream1,2022-7-2,[11.0]
42,42,65_81st_Vision_Stream1,2022-7-2,[12.0]
43,43,65_81st_Vision_Stream1,2022-7-2,[13.0]
44,44,65_81st_Vision_Stream1,2022-7-2,[14.0]
45,45,65_81st_Vision_Stream1,2022-7-2,[17.0]
46,46,65_81st_Vision_Stream1,2022-7-2,[18.0]
47,47,65_81st_Vision_Stream1,2022-7-2,[19.0]
48,48,65_81st_Vision_Stream1,2022-7-2,[20.0]
49,49,65_81st_Vision_Stream1,2022-7-2,[21.0]
50,50,65_81st_Vision_Stream1,2022-7-2,[22.0]
51,51,65_81st_Vision_Stream1,2022-7-2,[23.0]
52,52,65_81st_Vision_Stream1,2022-7-3,[0.0]
53,53,65_81st_Vision_Stream1,2022-7-3,[1.0]
54,54,65_81st_Vision_Stream1,2022-7-3,[4.0]
55,55,65_81st_Vision_Stream1,2022-7-3,[5.0]
56,56,65_81st_Vision_Stream1,2022-7-3,[6.0]
57,57,65_81st_Vision_Stream1,2022-7-3,[7.0]
58,58,65_81st_Vision_Stream1,2022-7-3,[8.0]
59,59,65_81st_Vision_Stream1,2022-7-3,[9.0]
60,60,65_81st_Vision_Stream1,2022-7-3,[10.0]
61,61,65_81st_Vision_Stream1,2022-7-3,[11.0]
62,62,65_81st_Vision_Stream1,2022-7-3,[13.0]
63,63,65_81st_Vision_Stream1,2022-7-3,[14.0]
64,64,65_81st_Vision_Stream1,2022-7-3,[15.0]
65,65,65_81st_Vision_Stream1,2022-7-3,[16.0]
66,66,65_81st_Vision_Stream1,2022-7-3,[17.0]
67,67,65_81st_Vision_Stream1,2022-7-3,[19.0]
68,68,65_81st_Vision_Stream1,2022-7-3,[21.0]
69,69,65_81st_Vision_Stream1,2022-7-3,[22.0]
70,70,65_81st_Vision_Stream1,2022-7-3,[23.0]
71,71,65_81st_Vision_Stream1,2022-7-4,[2.0]
72,72,65_81st_Vision_Stream1,2022-7-4,[3.0]
73,73,65_81st_Vision_Stream1,2022-7-4,[4.0]
74,74,65_81st_Vision_Stream1,2022-7-4,[5.0]
75,75,65_81st_Vision_Stream1,2022-7-4,[6.0]
76,76,65_81st_Vision_Stream1,2022-7-4,[7.0]
77,77,65_81st_Vision_Stream1,2022-7-4,[8.0]
78,78,65_81st_Vision_Stream1,2022-7-4,[9.0]
79,79,65_81st_Vision_Stream1,2022-7-4,[11.0]
80,80,65_81st_Vision_Stream1,2022-7-4,[12.0]
81,81,65_81st_Vision_Stream1,2022-7-4,[13.0]
82,82,65_81st_Vision_Stream1,2022-7-4,[15.0]
83,83,65_81st_Vision_Stream1,2022-7-4,[17.0]
84,84,65_81st_Vision_Stream1,2022-7-4,[18.0]
85,85,65_81st_Vision_Stream1,2022-7-4,[19.0]
86,86,65_81st_Vision_Stream1,2022-7-4,[20.0]
87,87,65_81st_Vision_Stream1,2022-7-4,[23.0]
88,88,65_81st_Vision_Stream1,2022-7-5,[1.0]
89,89,65_81st_Vision_Stream1,2022-7-5,[2.0]
90,90,65_81st_Vision_Stream1,2022-7-5,[4.0]
91,91,65_81st_Vision_Stream1,2022-7-5,[5.0]
92,92,65_81st_Vision_Stream1,2022-7-5,[6.0]
93,93,65_81st_Vision_Stream1,2022-7-5,[7.0]
94,94,65_81st_Vision_Stream1,2022-7-5,[8.0]
95,95,65_81st_Vision_Stream1,2022-7-5,[9.0]
96,96,65_81st_Vision_Stream1,2022-7-5,[10.0]
97,97,65_81st_Vision_Stream1,2022-7-5,[11.0]
98,98,65_81st_Vision_Stream1,2022-7-5,[13.0]
99,99,65_81st_Vision_Stream1,2022-7-5,[14.0]
100,100,65_81st_Vision_Stream1,2022-7-5,[15.0]
101,101,65_81st_Vision_Stream1,2022-7-5,[16.0]
102,102,65_81st_Vision_Stream1,2022-7-5,[17.0]
103,103,65_81st_Vision_Stream1,2022-7-5,[18.0]
104,104,65_81st_Vision_Stream1,2022-7-5,[19.0]
105,105,65_81st_Vision_Stream1,2022-7-5,[22.0]
106,106,65_81st_Vision_Stream1,2022-7-6,[0.0]
107,107,65_81st_Vision_Stream1,2022-7-6,[1.0]
108,108,65_81st_Vision_Stream1,2022-7-6,[5.0]
109,109,65_81st_Vision_Stream1,2022-7-6,[6.0]
110,110,65_81st_Vision_Stream1,2022-7-6,[7.0]
111,111,65_81st_Vision_Stream1,2022-7-6,[8.0]
